Date,stock_mkt,RF,trend,trend_gate,exposure,strategy_return,trend_only_return,buy_hold_return
1927-05-02,0.0028,0.0001,0.01504644864337904,1.0,1.0,0.002784126984126984,0.002784126984126984,0.0028
1927-05-03,0.0075,0.0001,0.01504644864337904,1.0,1.0,0.007484126984126984,0.007484126984126984,0.0075
1927-05-04,0.0079,0.0001,0.01504644864337904,1.0,1.0,0.007884126984126985,0.007884126984126985,0.0079
1927-05-05,0.003,0.0001,0.01504644864337904,1.0,1.0,0.002984126984126984,0.002984126984126984,0.003
1927-05-06,0.0029,0.0001,0.01504644864337904,1.0,1.0,0.0028841269841269838,0.0028841269841269838,0.0029
1927-05-07,0.003,0.0001,0.01504644864337904,1.0,1.0,0.002984126984126984,0.002984126984126984,0.003
1927-05-09,0.0021,0.0001,0.01504644864337904,1.0,1.0,0.002084126984126984,0.002084126984126984,0.0021
1927-05-10,-0.0006,0.0001,0.01504644864337904,1.0,1.0,-0.0006158730158730159,-0.0006158730158730159,-0.0006
1927-05-11,-0.0013,0.0001,0.01504644864337904,1.0,1.0,-0.0013158730158730157,-0.0013158730158730157,-0.0013
1927-05-12,-0.001,0.0001,0.01504644864337904,1.0,1.0,-0.0010158730158730158,-0.0010158730158730158,-0.001
1927-05-13,0.005,0.0001,0.01504644864337904,1.0,1.0,0.004984126984126984,0.004984126984126984,0.005
1927-05-14,0.0004,0.0001,0.01504644864337904,1.0,1.0,0.00038412698412698416,0.00038412698412698416,0.0004
1927-05-16,-0.0072,0.0001,0.01504644864337904,1.0,1.0,-0.007215873015873016,-0.007215873015873016,-0.0072
1927-05-17,0.0048,0.0001,0.01504644864337904,1.0,1.0,0.0047841269841269836,0.0047841269841269836,0.0048
1927-05-18,0.0052,0.0001,0.01504644864337904,1.0,1.0,0.005184126984126984,0.005184126984126984,0.0052
1927-05-19,0.0021,0.0001,0.01504644864337904,1.0,1.0,0.002084126984126984,0.002084126984126984,0.0021
1927-05-20,0.0045,0.0001,0.01504644864337904,1.0,1.0,0.004484126984126984,0.004484126984126984,0.0045
1927-05-21,0.0024,0.0001,0.01504644864337904,1.0,1.0,0.0023841269841269838,0.0023841269841269838,0.0024
1927-05-23,0.0016,0.0001,0.01504644864337904,1.0,1.0,0.0015841269841269843,0.0015841269841269843,0.0016
1927-05-24,-0.0013999999999999,0.0001,0.01504644864337904,1.0,1.0,-0.0014158730158729158,-0.0014158730158729158,-0.0013999999999999
